posteam,season,week,red_zone_trips,red_zone_trips_per_game,red_zone_td_pct,red_zone_fg_pct
BAL,2022,1,4,4.0,0.75,1.0
BAL,2022,2,6,6.0,0.8333333333333334,1.0
BAL,2022,3,5,5.0,1.0,1.0
BAL,2022,4,4,4.0,0.5,1.0
BAL,2022,5,3,3.0,0.3333333333333333,1.0
BAL,2022,6,4,4.0,0.5,1.0
BAL,2022,7,4,4.0,0.5,1.0
BAL,2022,8,6,6.0,0.5,1.0
BAL,2022,9,5,5.0,0.6,1.0
BAL,2022,11,4,4.0,0.25,1.0
BAL,2022,12,5,5.0,0.4,1.0
BAL,2022,13,2,2.0,0.5,1.0
BAL,2022,14,3,3.0,0.3333333333333333,1.0
BAL,2022,15,2,2.0,0.0,1.0
BAL,2022,16,4,4.0,0.25,1.0
BAL,2022,17,2,2.0,0.5,1.0
BAL,2022,18,3,3.0,0.3333333333333333,1.0
BAL,2022,19,5,5.0,0.6,1.0
BAL,2023,1,5,5.0,0.6,1.0
BAL,2023,2,4,4.0,0.75,1.0
BAL,2023,3,3,3.0,0.6666666666666666,1.0
BAL,2023,4,4,4.0,1.0,1.0
BAL,2023,5,3,3.0,0.3333333333333333,1.0
BAL,2023,6,6,6.0,0.16666666666666666,1.0
BAL,2023,7,6,6.0,0.8333333333333334,1.0
BAL,2023,8,4,4.0,1.0,1.0
BAL,2023,9,7,7.0,0.5714285714285714,1.0
BAL,2023,10,4,4.0,0.75,1.0
BAL,2023,11,5,5.0,0.8,1.0
BAL,2023,12,3,3.0,0.6666666666666666,1.0
BAL,2023,14,5,5.0,0.6,1.0
BAL,2023,15,5,5.0,0.4,1.0
BAL,2023,16,7,7.0,0.42857142857142855,1.0
BAL,2023,17,8,8.0,1.0,1.0
BAL,2023,18,2,2.0,0.5,1.0
BAL,2023,20,5,5.0,0.8,1.0
BAL,2023,21,2,2.0,0.5,1.0
BAL,2024,1,5,5.0,0.4,1.0
BAL,2024,2,3,3.0,0.6666666666666666,1.0
BAL,2024,3,4,4.0,1.0,1.0
BAL,2024,4,5,5.0,1.0,1.0
BAL,2024,5,6,6.0,0.8333333333333334,1.0
BAL,2024,6,5,5.0,0.6,1.0
BAL,2024,7,6,6.0,0.8333333333333334,1.0
BAL,2024,8,5,5.0,0.6,1.0
BAL,2024,9,7,7.0,0.7142857142857143,1.0
BAL,2024,10,5,5.0,1.0,1.0
BAL,2024,11,2,2.0,1.0,1.0
BAL,2024,12,4,4.0,1.0,1.0
BAL,2024,13,5,5.0,0.4,1.0
BAL,2024,15,6,6.0,0.8333333333333334,1.0
BAL,2024,16,5,5.0,0.6,1.0
BAL,2024,17,4,4.0,1.0,1.0
BAL,2024,18,5,5.0,0.8,1.0
BAL,2024,19,5,5.0,0.8,1.0
BAL,2024,20,4,4.0,0.75,1.0
BAL,2025,1,7,7.0,0.7142857142857143,1.0
BAL,2025,2,5,5.0,0.8,1.0
BAL,2025,3,6,6.0,0.6666666666666666,1.0
BAL,2025,4,3,3.0,0.6666666666666666,1.0
