posteam,season,week,down,distance_bucket,score_diff_bucket,time_bucket,pass_count,run_count,total_plays,pass_rate,run_rate
ATL,2025,1,1.0,long,down_1-6,2min,4.0,1.0,5,0.8,0.2
ATL,2025,1,1.0,long,down_1-6,Q2-Q3,3.0,2.0,5,0.6,0.4
ATL,2025,1,1.0,long,down_1-6,Q4_late,1.0,4.0,5,0.2,0.8
ATL,2025,1,1.0,long,tied,Q1-Q2,1.0,1.0,2,0.5,0.5
ATL,2025,1,1.0,long,tied,Q3-Q4,1.0,1.0,2,0.5,0.5
ATL,2025,1,1.0,long,up_1-6,Q1-Q2,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ATL,2025,1,2.0,medium,down_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
ATL,2025,1,2.0,medium,down_1-6,Q4_late,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ATL,2025,1,2.0,medium,up_1-6,Q1-Q2,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ATL,2025,1,2.0,long,down_7-13,Q3-Q4,2.0,0.0,2,1.0,0.0
ATL,2025,1,2.0,long,down_1-6,Q4_late,3.0,0.0,3,1.0,0.0
ATL,2025,1,3.0,short,down_1-6,Q4_late,1.0,1.0,2,0.5,0.5
ATL,2025,1,3.0,medium,down_1-6,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
ATL,2025,1,3.0,medium,down_1-6,Q4_late,2.0,0.0,2,1.0,0.0
ATL,2025,1,3.0,medium,up_1-6,Q1-Q2,2.0,0.0,2,1.0,0.0
ATL,2025,2,1.0,long,tied,Q1-Q2,0.0,3.0,3,0.0,1.0
ATL,2025,2,1.0,long,up_1-6,Q1-Q2,3.0,2.0,5,0.6,0.4
ATL,2025,2,1.0,long,up_1-6,Q2-Q3,2.0,2.0,4,0.5,0.5
ATL,2025,2,1.0,long,up_1-6,Q3-Q4,1.0,5.0,6,0.16666666666666666,0.8333333333333334
ATL,2025,2,1.0,long,up_1-6,Q4_late,0.0,2.0,2,0.0,1.0
ATL,2025,2,1.0,long,up_7-13,Q4_late,1.0,4.0,5,0.2,0.8
ATL,2025,2,2.0,medium,up_1-6,Q1-Q2,1.0,1.0,2,0.5,0.5
ATL,2025,2,2.0,medium,up_1-6,Q2-Q3,1.0,1.0,2,0.5,0.5
ATL,2025,2,2.0,medium,up_1-6,Q3-Q4,2.0,0.0,2,1.0,0.0
ATL,2025,2,2.0,medium,up_7-13,Q4_late,0.0,2.0,2,0.0,1.0
ATL,2025,2,2.0,long,up_1-6,Q3-Q4,1.0,1.0,2,0.5,0.5
ATL,2025,2,2.0,long,up_7-13,Q4_late,0.0,2.0,2,0.0,1.0
ATL,2025,2,3.0,short,up_1-6,Q2-Q3,0.0,2.0,2,0.0,1.0
ATL,2025,2,3.0,short,up_1-6,Q3-Q4,0.0,2.0,2,0.0,1.0
ATL,2025,3,1.0,long,down_14+,Q3-Q4,6.0,1.0,7,0.8571428571428571,0.14285714285714285
ATL,2025,3,1.0,long,down_14+,Q4_late,3.0,2.0,5,0.6,0.4
ATL,2025,3,1.0,long,down_7-13,Q1-Q2,0.0,3.0,3,0.0,1.0
ATL,2025,3,1.0,long,down_7-13,Q2-Q3,4.0,2.0,6,0.6666666666666666,0.3333333333333333
ATL,2025,3,1.0,long,tied,Q1-Q2,2.0,2.0,4,0.5,0.5
ATL,2025,3,2.0,medium,down_14+,Q4_late,1.0,1.0,2,0.5,0.5
ATL,2025,3,2.0,medium,down_7-13,Q1-Q2,1.0,1.0,2,0.5,0.5
ATL,2025,3,2.0,long,down_14+,Q3-Q4,4.0,0.0,4,1.0,0.0
ATL,2025,3,2.0,long,down_7-13,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
ATL,2025,3,2.0,long,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
ATL,2025,3,3.0,short,down_7-13,Q2-Q3,2.0,0.0,2,1.0,0.0
ATL,2025,3,3.0,long,down_14+,Q3-Q4,1.0,1.0,2,0.5,0.5
ATL,2025,4,1.0,long,tied,Q1-Q2,0.0,3.0,3,0.0,1.0
ATL,2025,4,1.0,long,up_1-6,Q1-Q2,3.0,3.0,6,0.5,0.5
ATL,2025,4,1.0,long,up_1-6,Q2-Q3,3.0,4.0,7,0.42857142857142855,0.5714285714285714
ATL,2025,4,1.0,long,up_1-6,Q4_late,0.0,5.0,5,0.0,1.0
ATL,2025,4,1.0,long,up_7-13,Q3-Q4,1.0,5.0,6,0.16666666666666666,0.8333333333333334
ATL,2025,4,2.0,short,up_1-6,Q1-Q2,0.0,2.0,2,0.0,1.0
ATL,2025,4,2.0,medium,up_1-6,Q1-Q2,1.0,1.0,2,0.5,0.5
ATL,2025,4,2.0,medium,up_1-6,Q4_late,0.0,3.0,3,0.0,1.0
ATL,2025,4,2.0,long,up_1-6,Q2-Q3,5.0,0.0,5,1.0,0.0
ATL,2025,4,2.0,long,up_7-13,Q3-Q4,3.0,0.0,3,1.0,0.0
ATL,2025,4,3.0,short,up_1-6,Q1-Q2,1.0,1.0,2,0.5,0.5
ATL,2025,4,3.0,medium,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
ATL,2025,4,3.0,medium,up_1-6,Q4_late,2.0,2.0,4,0.5,0.5
ATL,2025,6,1.0,long,tied,Q1-Q2,1.0,6.0,7,0.14285714285714285,0.8571428571428571
ATL,2025,6,1.0,long,up_1-6,Q3-Q4,1.0,3.0,4,0.25,0.75
ATL,2025,6,1.0,long,up_1-6,Q4_late,6.0,3.0,9,0.6666666666666666,0.3333333333333333
ATL,2025,6,1.0,long,up_7-13,Q2-Q3,4.0,3.0,7,0.5714285714285714,0.42857142857142855
ATL,2025,6,2.0,short,up_1-6,Q4_late,0.0,2.0,2,0.0,1.0
ATL,2025,6,2.0,short,up_7-13,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
ATL,2025,6,2.0,medium,up_1-6,Q4_late,1.0,1.0,2,0.5,0.5
ATL,2025,6,2.0,long,tied,Q1-Q2,4.0,1.0,5,0.8,0.2
ATL,2025,6,2.0,long,up_1-6,Q3-Q4,1.0,1.0,2,0.5,0.5
ATL,2025,6,2.0,long,up_1-6,Q4_late,2.0,1.0,3,0.6666666666666666,0.3333333333333333
ATL,2025,6,2.0,long,up_7-13,Q2-Q3,2.0,0.0,2,1.0,0.0
ATL,2025,6,3.0,short,up_7-13,Q2-Q3,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ATL,2025,6,3.0,long,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
ATL,2025,6,3.0,long,up_7-13,Q2-Q3,1.0,1.0,2,0.5,0.5
ATL,2025,7,1.0,long,down_7-13,Q2-Q3,3.0,0.0,3,1.0,0.0
ATL,2025,7,1.0,long,down_7-13,Q3-Q4,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ATL,2025,7,1.0,long,down_7-13,Q4_late,2.0,0.0,2,1.0,0.0
ATL,2025,7,1.0,long,down_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
ATL,2025,7,1.0,long,down_1-6,Q3-Q4,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ATL,2025,7,1.0,long,down_1-6,Q4_late,0.0,3.0,3,0.0,1.0
ATL,2025,7,1.0,long,tied,Q1-Q2,4.0,4.0,8,0.5,0.5
ATL,2025,7,1.0,long,up_1-6,Q2-Q3,1.0,1.0,2,0.5,0.5
ATL,2025,7,2.0,medium,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
ATL,2025,7,2.0,long,down_1-6,Q3-Q4,3.0,0.0,3,1.0,0.0
ATL,2025,7,2.0,long,down_1-6,Q4_late,2.0,0.0,2,1.0,0.0
ATL,2025,7,2.0,long,tied,Q1-Q2,4.0,1.0,5,0.8,0.2
ATL,2025,7,3.0,short,tied,Q1-Q2,1.0,2.0,3,0.3333333333333333,0.6666666666666666
ATL,2025,7,3.0,long,down_1-6,Q3-Q4,2.0,0.0,2,1.0,0.0
ATL,2025,8,1.0,long,down_14+,2min,0.0,2.0,2,0.0,1.0
ATL,2025,8,1.0,long,down_14+,Q3-Q4,3.0,2.0,5,0.6,0.4
ATL,2025,8,1.0,long,down_14+,Q4_late,5.0,1.0,6,0.8333333333333334,0.16666666666666666
ATL,2025,8,1.0,long,down_7-13,Q1-Q2,3.0,0.0,3,1.0,0.0
ATL,2025,8,2.0,medium,down_14+,Q3-Q4,1.0,1.0,2,0.5,0.5
ATL,2025,8,2.0,medium,down_14+,Q4_late,1.0,1.0,2,0.5,0.5
ATL,2025,8,2.0,long,down_14+,Q4_late,4.0,0.0,4,1.0,0.0
ATL,2025,8,3.0,short,down_14+,Q4_late,1.0,1.0,2,0.5,0.5
ATL,2025,8,4.0,medium,down_14+,Q4_late,2.0,0.0,2,1.0,0.0
BAL,2022,1,1.0,long,tied,Q1-Q2,2.0,2.0,4,0.5,0.5
BAL,2022,1,1.0,long,up_1-6,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,1,1.0,long,up_1-6,Q2-Q3,3.0,2.0,5,0.6,0.4
BAL,2022,1,1.0,long,up_1-6,Q3-Q4,1.0,3.0,4,0.25,0.75
BAL,2022,1,1.0,long,up_7-13,Q3-Q4,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,1,1.0,long,up_14+,Q4_late,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,1,2.0,medium,up_14+,Q4_late,1.0,1.0,2,0.5,0.5
BAL,2022,1,2.0,long,tied,Q1-Q2,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,1,2.0,long,up_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,1,2.0,long,up_1-6,Q3-Q4,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,1,3.0,short,tied,Q1-Q2,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,1,3.0,medium,up_14+,Q4_late,2.0,0.0,2,1.0,0.0
BAL,2022,1,3.0,long,up_1-6,Q3-Q4,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,2,1.0,long,down_1-6,2min,2.0,0.0,2,1.0,0.0
BAL,2022,2,1.0,long,tied,Q4_late,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,2,1.0,long,up_1-6,Q1-Q2,2.0,3.0,5,0.4,0.6
BAL,2022,2,1.0,long,up_1-6,Q2-Q3,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,2,1.0,long,up_7-13,Q2-Q3,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,2,1.0,long,up_7-13,Q3-Q4,2.0,0.0,2,1.0,0.0
BAL,2022,2,1.0,long,up_7-13,Q4_late,2.0,0.0,2,1.0,0.0
BAL,2022,2,2.0,short,up_1-6,Q1-Q2,0.0,2.0,2,0.0,1.0
BAL,2022,2,2.0,medium,up_1-6,Q1-Q2,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,2,2.0,medium,up_1-6,Q2-Q3,1.0,1.0,2,0.5,0.5
BAL,2022,2,3.0,short,up_1-6,Q1-Q2,0.0,3.0,3,0.0,1.0
BAL,2022,3,1.0,long,down_1-6,Q2-Q3,1.0,4.0,5,0.2,0.8
BAL,2022,3,1.0,long,down_1-6,Q3-Q4,0.0,2.0,2,0.0,1.0
BAL,2022,3,1.0,long,tied,Q1-Q2,3.0,3.0,6,0.5,0.5
BAL,2022,3,1.0,long,up_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,3,1.0,long,up_1-6,Q4_late,3.0,3.0,6,0.5,0.5
BAL,2022,3,2.0,short,down_1-6,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,3,2.0,medium,down_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,3,2.0,medium,tied,Q1-Q2,3.0,0.0,3,1.0,0.0
BAL,2022,3,2.0,long,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,3,2.0,long,up_1-6,Q4_late,3.0,1.0,4,0.75,0.25
BAL,2022,3,3.0,medium,tied,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,3,3.0,long,up_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,4,1.0,long,tied,Q3-Q4,3.0,0.0,3,1.0,0.0
BAL,2022,4,1.0,long,tied,Q4_late,2.0,5.0,7,0.2857142857142857,0.7142857142857143
BAL,2022,4,1.0,long,up_1-6,Q1-Q2,3.0,3.0,6,0.5,0.5
BAL,2022,4,1.0,long,up_1-6,Q3-Q4,0.0,2.0,2,0.0,1.0
BAL,2022,4,1.0,long,up_7-13,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,4,1.0,long,up_7-13,Q2-Q3,1.0,3.0,4,0.25,0.75
BAL,2022,4,2.0,medium,tied,Q3-Q4,0.0,2.0,2,0.0,1.0
BAL,2022,4,2.0,medium,up_1-6,Q1-Q2,0.0,2.0,2,0.0,1.0
BAL,2022,4,2.0,long,tied,Q4_late,1.0,1.0,2,0.5,0.5
BAL,2022,4,2.0,long,up_1-6,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,4,2.0,long,up_7-13,Q2-Q3,3.0,1.0,4,0.75,0.25
BAL,2022,4,3.0,long,tied,Q4_late,1.0,1.0,2,0.5,0.5
BAL,2022,4,3.0,long,up_7-13,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,5,1.0,long,down_1-6,2min,1.0,1.0,2,0.5,0.5
BAL,2022,5,1.0,long,tied,Q1-Q2,3.0,2.0,5,0.6,0.4
BAL,2022,5,1.0,long,tied,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,5,1.0,long,up_1-6,Q1-Q2,4.0,1.0,5,0.8,0.2
BAL,2022,5,1.0,long,up_1-6,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,5,1.0,long,up_1-6,Q3-Q4,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,5,1.0,long,up_1-6,Q4_late,2.0,2.0,4,0.5,0.5
BAL,2022,5,1.0,long,up_7-13,Q2-Q3,0.0,3.0,3,0.0,1.0
BAL,2022,5,2.0,short,tied,Q1-Q2,0.0,2.0,2,0.0,1.0
BAL,2022,5,2.0,long,tied,Q3-Q4,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,5,2.0,long,up_1-6,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,5,2.0,long,up_1-6,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,5,3.0,medium,up_1-6,Q4_late,2.0,0.0,2,1.0,0.0
BAL,2022,6,1.0,long,tied,Q1-Q2,3.0,4.0,7,0.42857142857142855,0.5714285714285714
BAL,2022,6,1.0,long,tied,Q2-Q3,5.0,4.0,9,0.5555555555555556,0.4444444444444444
BAL,2022,6,1.0,long,up_1-6,Q3-Q4,4.0,3.0,7,0.5714285714285714,0.42857142857142855
BAL,2022,6,1.0,long,up_1-6,Q4_late,1.0,3.0,4,0.25,0.75
BAL,2022,6,2.0,medium,tied,Q1-Q2,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,6,2.0,medium,up_1-6,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,6,2.0,long,tied,Q1-Q2,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,6,2.0,long,tied,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,6,3.0,medium,tied,Q1-Q2,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,6,3.0,long,tied,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,6,3.0,long,tied,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,7,1.0,long,down_7-13,Q1-Q2,1.0,3.0,4,0.25,0.75
BAL,2022,7,1.0,long,down_1-6,Q2-Q3,0.0,4.0,4,0.0,1.0
BAL,2022,7,1.0,long,up_1-6,Q3-Q4,1.0,4.0,5,0.2,0.8
BAL,2022,7,1.0,long,up_1-6,Q4_late,2.0,4.0,6,0.3333333333333333,0.6666666666666666
BAL,2022,7,2.0,medium,down_7-13,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,7,2.0,medium,up_1-6,Q4_late,0.0,3.0,3,0.0,1.0
BAL,2022,7,2.0,long,down_7-13,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,7,2.0,long,down_1-6,Q2-Q3,1.0,1.0,2,0.5,0.5
BAL,2022,7,2.0,long,up_1-6,Q3-Q4,3.0,1.0,4,0.75,0.25
BAL,2022,7,2.0,long,up_1-6,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,7,3.0,short,down_7-13,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,7,3.0,short,up_1-6,Q4_late,0.0,4.0,4,0.0,1.0
BAL,2022,8,1.0,long,down_7-13,Q2-Q3,10.0,1.0,11,0.9090909090909091,0.09090909090909091
BAL,2022,8,1.0,long,down_7-13,Q3-Q4,0.0,4.0,4,0.0,1.0
BAL,2022,8,1.0,long,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,8,1.0,long,tied,Q3-Q4,1.0,4.0,5,0.2,0.8
BAL,2022,8,1.0,long,up_1-6,Q4_late,2.0,4.0,6,0.3333333333333333,0.6666666666666666
BAL,2022,8,1.0,long,up_7-13,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,8,2.0,medium,down_7-13,Q2-Q3,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,8,2.0,long,down_7-13,Q2-Q3,6.0,0.0,6,1.0,0.0
BAL,2022,8,2.0,long,down_7-13,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,8,2.0,long,tied,Q3-Q4,0.0,3.0,3,0.0,1.0
BAL,2022,8,3.0,long,down_7-13,Q2-Q3,1.0,1.0,2,0.5,0.5
BAL,2022,9,1.0,long,tied,Q1-Q2,3.0,4.0,7,0.42857142857142855,0.5714285714285714
BAL,2022,9,1.0,long,up_1-6,Q2-Q3,3.0,4.0,7,0.42857142857142855,0.5714285714285714
BAL,2022,9,1.0,long,up_7-13,Q3-Q4,4.0,1.0,5,0.8,0.2
BAL,2022,9,1.0,long,up_7-13,Q4_late,0.0,7.0,7,0.0,1.0
BAL,2022,9,2.0,short,up_7-13,Q3-Q4,0.0,2.0,2,0.0,1.0
BAL,2022,9,2.0,short,up_7-13,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,9,2.0,medium,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,9,2.0,medium,up_7-13,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,9,2.0,long,tied,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,9,2.0,long,up_1-6,Q2-Q3,3.0,1.0,4,0.75,0.25
BAL,2022,9,2.0,long,up_7-13,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,9,2.0,long,up_7-13,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,9,3.0,short,tied,Q1-Q2,0.0,2.0,2,0.0,1.0
BAL,2022,9,3.0,short,up_7-13,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,9,3.0,long,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,9,3.0,long,up_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,9,3.0,long,up_7-13,Q3-Q4,2.0,0.0,2,1.0,0.0
BAL,2022,11,1.0,long,tied,Q1-Q2,3.0,3.0,6,0.5,0.5
BAL,2022,11,1.0,long,tied,Q2-Q3,7.0,2.0,9,0.7777777777777778,0.2222222222222222
BAL,2022,11,1.0,long,tied,Q3-Q4,4.0,1.0,5,0.8,0.2
BAL,2022,11,1.0,long,tied,Q4_late,2.0,2.0,4,0.5,0.5
BAL,2022,11,1.0,long,up_7-13,Q4_late,0.0,3.0,3,0.0,1.0
BAL,2022,11,2.0,short,tied,Q2-Q3,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,11,2.0,short,tied,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,11,2.0,medium,tied,Q2-Q3,1.0,1.0,2,0.5,0.5
BAL,2022,11,2.0,medium,tied,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,11,2.0,long,tied,Q1-Q2,3.0,1.0,4,0.75,0.25
BAL,2022,11,2.0,long,tied,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,11,2.0,long,up_7-13,Q4_late,1.0,1.0,2,0.5,0.5
BAL,2022,11,3.0,short,tied,Q1-Q2,0.0,2.0,2,0.0,1.0
BAL,2022,11,3.0,short,tied,Q2-Q3,0.0,2.0,2,0.0,1.0
BAL,2022,11,3.0,medium,up_7-13,Q4_late,1.0,1.0,2,0.5,0.5
BAL,2022,11,3.0,long,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,11,3.0,long,tied,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,12,1.0,long,down_1-6,Q2-Q3,1.0,3.0,4,0.25,0.75
BAL,2022,12,1.0,long,down_1-6,Q3-Q4,3.0,1.0,4,0.75,0.25
BAL,2022,12,1.0,long,down_1-6,Q4_late,1.0,2.0,3,0.3333333333333333,0.6666666666666666
BAL,2022,12,1.0,long,tied,Q1-Q2,4.0,0.0,4,1.0,0.0
BAL,2022,12,1.0,long,up_1-6,Q1-Q2,1.0,3.0,4,0.25,0.75
BAL,2022,12,1.0,long,up_1-6,Q3-Q4,5.0,2.0,7,0.7142857142857143,0.2857142857142857
BAL,2022,12,2.0,short,up_1-6,Q1-Q2,0.0,2.0,2,0.0,1.0
BAL,2022,12,2.0,short,up_1-6,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,12,2.0,long,down_1-6,Q2-Q3,3.0,0.0,3,1.0,0.0
BAL,2022,12,2.0,long,down_1-6,Q3-Q4,0.0,2.0,2,0.0,1.0
BAL,2022,12,2.0,long,down_1-6,Q4_late,2.0,0.0,2,1.0,0.0
BAL,2022,12,2.0,long,tied,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,12,2.0,long,up_1-6,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,12,3.0,short,up_1-6,Q1-Q2,0.0,2.0,2,0.0,1.0
BAL,2022,12,3.0,long,down_1-6,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,13,1.0,long,down_1-6,2min,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,13,1.0,long,down_1-6,Q1-Q2,1.0,3.0,4,0.25,0.75
BAL,2022,13,1.0,long,down_1-6,Q2-Q3,5.0,1.0,6,0.8333333333333334,0.16666666666666666
BAL,2022,13,1.0,long,down_1-6,Q3-Q4,3.0,5.0,8,0.375,0.625
BAL,2022,13,1.0,long,down_1-6,Q4_late,3.0,3.0,6,0.5,0.5
BAL,2022,13,2.0,medium,down_1-6,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,13,2.0,medium,down_1-6,Q3-Q4,3.0,0.0,3,1.0,0.0
BAL,2022,13,2.0,medium,down_1-6,Q4_late,3.0,0.0,3,1.0,0.0
BAL,2022,13,2.0,long,down_1-6,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,13,2.0,long,down_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,13,2.0,long,down_1-6,Q3-Q4,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,13,2.0,long,down_1-6,Q4_late,2.0,0.0,2,1.0,0.0
BAL,2022,13,3.0,short,down_1-6,Q3-Q4,0.0,2.0,2,0.0,1.0
BAL,2022,13,3.0,long,down_1-6,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,13,4.0,short,down_1-6,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,14,1.0,long,tied,Q1-Q2,1.0,4.0,5,0.2,0.8
BAL,2022,14,1.0,long,up_1-6,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,14,1.0,long,up_1-6,Q2-Q3,2.0,4.0,6,0.3333333333333333,0.6666666666666666
BAL,2022,14,1.0,long,up_1-6,Q3-Q4,2.0,3.0,5,0.4,0.6
BAL,2022,14,1.0,long,up_1-6,Q4_late,1.0,5.0,6,0.16666666666666666,0.8333333333333334
BAL,2022,14,2.0,medium,tied,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,14,2.0,medium,up_1-6,Q3-Q4,0.0,2.0,2,0.0,1.0
BAL,2022,14,2.0,medium,up_1-6,Q4_late,0.0,3.0,3,0.0,1.0
BAL,2022,14,2.0,long,tied,Q1-Q2,2.0,0.0,2,1.0,0.0
BAL,2022,14,2.0,long,up_1-6,Q2-Q3,0.0,2.0,2,0.0,1.0
BAL,2022,14,2.0,long,up_1-6,Q4_late,1.0,1.0,2,0.5,0.5
BAL,2022,14,3.0,short,up_1-6,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,14,3.0,medium,up_1-6,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,14,3.0,medium,up_1-6,Q4_late,1.0,1.0,2,0.5,0.5
BAL,2022,15,1.0,long,down_7-13,Q3-Q4,3.0,1.0,4,0.75,0.25
BAL,2022,15,1.0,long,down_7-13,Q4_late,3.0,0.0,3,1.0,0.0
BAL,2022,15,1.0,long,down_1-6,Q2-Q3,3.0,8.0,11,0.2727272727272727,0.7272727272727273
BAL,2022,15,1.0,long,down_1-6,Q3-Q4,1.0,3.0,4,0.25,0.75
BAL,2022,15,1.0,long,tied,Q1-Q2,1.0,3.0,4,0.25,0.75
BAL,2022,15,2.0,short,down_1-6,Q2-Q3,0.0,2.0,2,0.0,1.0
BAL,2022,15,2.0,medium,down_7-13,Q4_late,2.0,0.0,2,1.0,0.0
BAL,2022,15,2.0,medium,down_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,15,2.0,medium,down_1-6,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,15,2.0,medium,tied,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,15,2.0,long,down_7-13,Q4_late,1.0,1.0,2,0.5,0.5
BAL,2022,15,2.0,long,down_1-6,Q2-Q3,3.0,1.0,4,0.75,0.25
BAL,2022,15,2.0,long,down_1-6,Q3-Q4,1.0,1.0,2,0.5,0.5
BAL,2022,15,2.0,long,tied,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,15,3.0,medium,down_7-13,Q4_late,2.0,0.0,2,1.0,0.0
BAL,2022,15,3.0,medium,down_1-6,Q2-Q3,2.0,0.0,2,1.0,0.0
BAL,2022,15,3.0,long,down_1-6,Q2-Q3,2.0,1.0,3,0.6666666666666666,0.3333333333333333
BAL,2022,16,1.0,long,tied,Q1-Q2,3.0,1.0,4,0.75,0.25
BAL,2022,16,1.0,long,up_1-6,Q1-Q2,0.0,3.0,3,0.0,1.0
BAL,2022,16,1.0,long,up_1-6,Q2-Q3,0.0,7.0,7,0.0,1.0
BAL,2022,16,1.0,long,up_7-13,Q3-Q4,1.0,4.0,5,0.2,0.8
BAL,2022,16,1.0,long,up_7-13,Q4_late,0.0,2.0,2,0.0,1.0
BAL,2022,16,2.0,medium,up_1-6,Q1-Q2,1.0,1.0,2,0.5,0.5
BAL,2022,16,2.0,medium,up_1-6,Q2-Q3,1.0,3.0,4,0.25,0.75
BAL,2022,16,2.0,long,tied,Q1-Q2,0.0,2.0,2,0.0,1.0
